Site,D-2001-06-27,D-2001-07-30,D-2001-09-06,D-2001-10-05,D-2001-11-08,D-2001-12-14,D-2002-02-11,D-2002-02-12,D-2002-03-15,D-2002-04-16,D-2002-05-10
PB2A,2.625573928,,2.392266652,2.706830165,2.313849037,2.098494115,1.844999425,,1.765703656,2.052638768,
PB3,2.621498633,,2.436200253,2.727510718,2.096267396,2.259900997,1.908462118,,1.931855022,2.060865154,
PB3A,2.854671316,,2.422843503,2.572968795,2.355168841,2.025857566,2.122067541,,2.174805813,2.116226938,
PB4,2.375283938,,2.484569776,2.514451889,2.513337867,2.218497331,,2.051299975,2.097612876,2.21442005,
BARN,,25.755124,21.3219121,23.39360654,23.87303146,21.19335052,25.71400735,,25.08250623,25.75437178,
BR2,,2.797552994,2.546139321,2.837382903,2.385862875,2.077248062,1.971799911,,1.931042772,1.793423036,
BR3,,30.75777719,29.88050122,29.16380918,28.66210768,27.31263162,31.20765778,,27.35270565,28.36332268,
BR4,,3.539218453,3.150069435,3.306745295,3.096161119,2.698032592,2.725070681,,2.7166972,2.888199708,
BR5,,24.42101954,24.0025867,24.62685571,24.63804104,22.98410782,24.95460586,,24.38279933,25.33729397,
BR5A,,43.86075644,44.89987071,46.48027694,49.29815578,42.29989945,58.47036684,,55.05418736,58.02226656,
BR6,,48.03181997,46.38066738,45.02145049,43.81170051,40.05259274,48.79803317,,43.50017139,45.39647066,
BR7,,28.66919126,27.51784828,27.08677574,27.03053852,24.6790575,29.55749044,,26.09031207,27.07897101,
POBR,,2.989037048,2.515552522,2.413303761,2.36744428,1.970853245,1.91579534,,1.847088774,2.083005024,
