Site,D-2001-06-27,D-2001-07-30,D-2001-09-06,D-2001-10-05,D-2001-11-08,D-2001-12-14,D-2002-02-11,D-2002-02-12,D-2002-03-15,D-2002-04-16,D-2002-05-10
PB2A,20.0,,18.0,17.8,12.0,11.0,15.0,,15.5,22.5,
PB3,19.0,,18.0,,13.0,11.5,13.5,,15.0,20.0,
PB3A,,,16.0,,12.0,,9.5,,15.0,20.0,
PB4,,,12.0,12.0,11.5,12.5,,14.5,11.0,11.5,
BARN,,,17.75,16.9,,10.0,18.0,,,22.0,
BR2,,,19.0,15.6,10.0,9.0,17.0,,12.0,20.0,
BR3,,,15.75,14.5,9.5,11.0,5.0,,11.0,18.5,
BR4,,,15.5,14.5,10.0,11.0,,,10.5,17.4,
BR5,,,14.5,14.0,9.5,11.0,5.0,,9.5,17.0,
BR5A,,,14.0,13.5,9.5,12.0,4.5,,10.5,17.5,
BR6,,,15.0,14.0,9.0,11.0,4.75,,9.0,16.5,
BR7,,,17.5,,10.0,11.0,5.25,,11.5,20.0,
POBR,,,18.5,,11.5,10.5,16.0,,13.5,20.5,
