Site,D-2001-06-27,D-2001-07-30,D-2001-09-06,D-2001-10-05,D-2001-11-08,D-2001-12-14,D-2002-02-11,D-2002-02-12,D-2002-03-15,D-2002-04-16,D-2002-05-10
PB2A,0.07450016675161292,,0.06516010589888241,0.0412243928349204,0.01,0.01,0.01,,0.036884113971997465,0.030366497666348472,
PB3,0.05669205271935484,,0.0342205142330282,0.0242139281172082,0.01,0.012390818871290324,0.01,,0.03886212529268599,0.030432359844963723,
PB3A,0.06618641011612904,,0.036732430893055806,0.0273203221786012,0.01,0.01,0.01,,0.03148615477057493,0.03049822202357897,
PB4,0.03697859446129032,,0.0261902006549778,0.030402967884265202,0.09209517846,0.02891083173548387,,0.02466300286812032,0.05214718843248291,0.030564084202194225,
BARN,,1.8895299838709676,1.4899915158497181,1.6625855075320122,1.1539668539334598,1.5792789281612902,1.8155068927202784,,0.959358075318131,1.4170005329083346,
BR2,,0.1740433186021995,0.1171282944268136,0.0782352922032962,0.01,0.012536239163225807,0.01,,0.057854166195179316,0.04356482754100859,
BR3,,2.590991263358073,2.52563677710344,2.5386339920767003,2.0,2.551738566774193,2.6976947566508325,,1.5855387158964074,2.268006326610637,
BR4,,0.09708146435018676,0.071097046724977,0.0572726946866396,0.01,0.01,0.01,,0.03926738461275427,0.030037186750683155,
BR5,,2.7475371418871317,2.66062108165042,2.7113332795806597,2.251321389846417,2.3183784558064517,2.5521474163763904,,1.9273085560766785,2.3565197125962563,
BR5A,,4.435316681883504,4.47582679123174,4.5094336201469805,4.17003646176327,4.025842465806452,4.403439656025785,,3.8325799251160197,4.250080552413101,
BR6,,3.4124281917387895,3.49968800157774,3.6299289417405003,3.1856008245333296,3.1838991912903225,3.8201238951652825,,3.0362340350190915,3.5441170165047966,
BR7,,2.2769455809330186,2.211651069656756,2.228046583865662,1.656769854020904,2.026148107967742,2.4009532068994677,,1.3961560104626287,1.90431669301448,
POBR,,0.12067845586774194,0.09992896554812081,0.0716450021516446,0.01,0.01,0.012231111360158965,,0.05974616565546591,0.030300635487733228,
