Site,D-2001-06-27,D-2001-07-30,D-2001-09-06,D-2001-10-05,D-2001-11-08,D-2001-12-14,D-2002-02-11,D-2002-02-12,D-2002-03-15,D-2002-04-16,D-2002-05-10
PB2A,1.5,,1.5,1.5,1.865673985,3.31649415,1.829799159,,2.033127985,1.455890843,
PB3,1.5,,1.5,1.5,3.25753511,3.1027493130000003,1.32115288,,2.292871211,1.207205084,
PB3A,2.407982694,,1.5,1.7122622369999998,1.5,1.535150382,2.291674938,,2.780267419,1.058356339,
PB4,1.5,,1.5,1.5,1.5,1.5,,1.477076342,1.326392236,0.3834802338,
BARN,,2.4907617429999998,1.5,1.5,1.738681613,1.5,1.291828693,,2.124000347,2.209987758,
BR2,,3.271199373,1.8699675,2.302763127,3.52408257,2.7596873279999996,2.837105106,,2.511062577,2.190687495,
BR3,,1.809786722,1.5,1.5,2.248647277,1.5,2.689449098,,1.794043776,1.4214458,
BR4,,1.749971293,1.5,1.9731903979999998,2.8476650820000002,2.180204571,1.573161219,,2.188767769,1.688539704,
BR5,,1.769926756,1.5,1.5,1.8522124690000001,1.912574316,1.263672507,,1.090186565,1.178321314,
BR5A,,2.038570669,1.5,1.5,1.598138729,2.972353171,1.493090488,,1.42176355,1.35409489,
BR6,,1.5,1.5,1.5,1.590435108,1.5,1.035293736,,1.272410543,0.6240359872,
BR7,,2.4496905929999997,1.5,1.5,2.077815938,1.5,1.621203658,,1.190846955,1.159930698,
POBR,,1.982259681,1.5,1.5,2.292797594,2.33100396,1.003866311,,1.427603095,1.73018167,
