Site,D-2001-06-27,D-2001-07-30,D-2001-09-06,D-2001-10-05,D-2001-11-08,D-2001-12-14,D-2002-02-11,D-2002-02-12,D-2002-03-15,D-2002-04-16,D-2002-05-10
PB2A,1.0703768011776003,,1.3875254830080002,0.794,0.75,1.536,0.563,,0.886,0.7251375,0.747
PB3,2.3304764745216002,,0.9910896307200002,0.51,0.599,1.66,0.541,,0.742,0.44995000000000007,0.515
PB3A,0.36811900569600003,,0.7079211648000002,0.24,0.108,0.245,0.174,,0.115,0.11620000000000003,0.276
PB4,,,0.48138639206400013,0.146,0.011,0.085,,0.075,0.07,0.0945,0.088
BARN,,18.547534517760003,11.723174489088,7.77,10.84,22.784,10.82,,13.57,13.02975,13.206
BR2,,2.1237634944000003,1.6706939489280002,1.18,1.7,2.684,1.5,,1.572,1.234825,1.553
BR3,,3.2847542046720006,2.2936645739520003,1.59,1.84,5.238,2.22,,2.98,2.9240500000000003,2.982
BR4,,0.5946537784320002,0.5097032386560001,0.272,0.14,0.804,0.332,,0.185,0.20275,0.574
BR5,,5.6350524718080015,5.040398693376001,2.23,2.67,5.393,3.02,,3.904,3.07575,3.804
BR5A,,1.2742580966400001,1.4441591761920003,0.502,0.41,2.06,0.44,,0.479,0.36300000000000004,0.458
BR6,,3.851091136512001,3.5962395171840007,1.54,2.104,4.65,2.18,,2.98,2.8567500000000003,2.477
BR7,,14.668126534656002,10.958619631104002,8.95,10.31,21.939,10.71,,14.696,11.619050000000001,13.193
POBR,,1.7839613352960002,1.245941250048,0.475,0.841,2.596,1.1,,1.132,0.9345000000000002,0.916
