Site,D-2001-06-27,D-2001-07-30,D-2001-09-06,D-2001-10-05,D-2001-11-08,D-2001-12-14,D-2002-02-11,D-2002-02-12,D-2002-03-15,D-2002-04-16,D-2002-05-10
PB2A,0.5000198864,,0.6242315146,0.6411160276,0.7210921743,2.154167555,1.258500792,,1.0094893,1.371380364,
PB3,0.4320208921,,0.5295476033,0.5608100188,0.6137812778,1.910582506,0.9855821489,,0.8708683858,1.137715715,
PB3A,0.3217615389,,0.4541239004,0.4681739293,0.5064786149,0.9286331861,0.5759910044,,0.5956219007,0.6373463244,
PB4,0.210479846,,0.4076359361,0.4070933841,0.3991384253,0.4557461809,,0.4456890574,0.4178958952,0.4312884562,
BARN,,1.893431,1.905369455,1.758460042,1.583124003,2.11994395,1.850751297,,2.126122984,2.276030666,
BR2,,0.9229289319,1.438703889,1.139788608,1.038059446,1.772913168,1.611680542,,1.743095296,2.25435103,
BR3,,2.639327464,2.513887324,2.244516951,2.084812238,2.697136656,2.64061447,,2.647720016,2.812593529,
BR4,,1.095737079,1.080454824,1.064882658,1.122061852,1.87552513,1.628996639,,1.713208939,1.947718854,
BR5,,1.635303868,1.51547152,1.374130489,1.141209733,1.410970076,1.164521161,,1.260115874,1.296617961,
BR5A,,2.368279986,2.341415778,2.011849701,1.260789403,2.62116009,0.8827680387,,0.9816697129,1.030382541,
BR6,,2.016218546,1.823760913,1.618175179,1.374302836,1.671599097,1.429206902,,1.504176473,1.616209243,
BR7,,1.993815596,1.878618894,1.676467684,1.50089178,1.992753978,1.758545342,,1.904148669,1.9997589,
POBR,,0.7564527082,0.7833006683,0.8098519468,0.9170009369,2.079572999,1.429467447,,1.414752159,1.770296775,
