Site,D-2001-06-27,D-2001-07-30,D-2001-09-06,D-2001-10-05,D-2001-11-08,D-2001-12-14,D-2002-02-11,D-2002-02-12,D-2002-03-15,D-2002-04-16,D-2002-05-10
PB2A,0.31,,0.14,0.08,0.23,0.29,,,,,
PB3,0.31,,0.12,0.08,0.09,0.13,,,,,
PB3A,0.23,,0.18,0.06,0.12,0.1,,,,,
PB4,0.22,,0.1,0.03,0.16,4.14,,,,,
BARN,,1.6,1.58,1.85,1.3,1.66,,,,,
BR2,,0.4,0.27,0.19,0.2,0.18,,,,,
BR3,,2.78,0.16,2.59,2.13,2.65,,,,,
BR4,,0.31,2.63,0.16,0.12,0.15,,,,,
BR5,,2.95,2.79,2.77,2.38,2.4,,,,,
BR5A,,4.88,4.57,4.7,4.33,0.17,,,,,
BR6,,3.75,3.64,3.54,3.27,3.33,,,,,
BR7,,2.43,2.31,1.95,1.75,2.14,,,,,
POBR,,0.2,0.32,0.12,0.1,0.17,,,,,
