Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,39.5,38.6,34.6,34.5,36.4,59.8,31.9,28.2,31.1,37.6,37.6,34.1,29.8,,,,,,,,,,,,,,,,,,
BA3SF1A,,47.5,,37.7,39.4,82.9,34.5,28.3,31.9,43.2,44.6,46.5,47.8,36.2,38.5,45.6,,,,,,,,,,,,,,,
BA3SF1B,,41.5,,,36.2,86.0,32.1,27.0,29.1,37.7,39.4,41.1,41.7,33.4,40.7,40.2,,,,,,,,,,,,,,,
BA3SF1L,38.8,40.9,38.2,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,58.8,55.8,51.8,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,82.5,84.9,,87.6,81.5,114.0,118.0,122.0,118.0,90.5,90.2,87.9,84.2,,,88.0,,,,,,,,,,,,,,,
BA3SF3B,89.0,100.0,,90.2,85.9,76.1,97.1,90.4,87.9,90.8,92.2,93.8,94.3,,,104.0,,,,,,,,,,,,,,,
BA5AJC1,,,29.2,,,,,33.3,34.1,27.7,27.1,26.1,25.8,29.8,31.1,,6.93,37.6,38.4,709.0,40.0,,,,,,,,,,
BA5AJC2,,,50.7,,,,,50.5,50.9,51.3,51.9,53.8,55.0,,49.4,,49.6,51.0,51.4,640.0,52.8,28.2,,,,,,,,,
DR5,,,,,,,,,,75.8,,,61.6,,48.1,132.0,123.0,127.0,315.0,,,175.0,56.8,132.0,164.0,544.0,276.0,84.1,154.0,142.0,88.6
DR5GP,,,,,,,,,,,,,0.0,,40.0,88.1,19.8,39.1,0.0,,,,41.9,65.1,,196.0,245.0,179.0,0.0,0.0,0.0
DR5KM,,,,,,,,,,82.3,,,181.0,,74.6,152.0,143.0,143.0,300.0,,,148.0,56.4,138.0,123.0,533.0,312.0,96.1,171.0,163.0,150.0
