Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,134.0806,135.3782,139.2667,243.799,266.714,1785.8074,402.686,1048.305,672.0378,67.4528,78.3929,21.87,45.4413,,,,,,,,,,,,,,,,,,
BA3SF1A,,30.4902,,36.1004,58.5894,186.3514,25.0201,191.5629,43.1774,15.0445,12.3376,4.014,12.1997,0.0,35.7921,42.0601,,,,,,,,,,,,,,,
BA3SF1B,,29.4982,,,57.1432,490.3246,89.0454,214.7662,69.4213,20.5129,12.1279,8.9221,4.7517,0.0,41.3661,115.0061,,,,,,,,,,,,,,,
BA3SF1L,0.0,29.7254,42.7791,68.3037,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,0.0,0.0,100.1011,154.7513,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,7.9022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,8.3585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,5.5275,6.7328,,9.5677,10.4123,22.7676,38.8272,35.2255,47.7933,2.7766,8.0886,0.5658,15.1144,,,6.6939,,,,,,,,,,,,,,,
BA3SF3B,9.078,54.6508,,81.0697,78.703,250.7139,135.9589,288.4296,297.023,46.014,29.0103,11.0337,21.8131,,,45.3657,,,,,,,,,,,,,,,
BA5AJC1,,,10.3546,,,,,191.8206,121.4741,9.482,3.7842,16.7487,1.4016,5.5307,3.9244,,24.4659,21.7777,49.4899,1387.6595,37.0372,,,,,,,,,,
BA5AJC2,,,136.0981,,,,,660.9372,473.2552,82.0568,84.9266,78.6822,54.0691,0.0,11.7038,,634.1202,144.9461,167.9275,8819.8301,405.4166,0.0,,,,,,,,,
DR5,,,,,,,,,,0.0,,,139.5163,,289.0209,945.9497,1820.3766,797.7401,2701.555,,,0.0,796.0352,356.8469,0.0,10935.8673,16954.4094,10791.7741,1444.7617,260.4234,15.8557
DR5GP,,,,,,,,,,,,,0.0,,1.6326,7.4102,35.7847,0.366,0.0,,,,3.1425,0.0,,202.1467,73.7381,59.2613,0.0,0.0,0.0
DR5KM,,,,,,,,,,0.0,,,415.4059,,409.5697,939.2733,1019.4838,577.8228,1383.8277,,,0.0,401.4033,267.7272,0.0,9520.2452,13324.9975,4981.9637,1195.4748,318.5484,128.4085
