Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,2.59785,2.75598,2.184453,3.02706,3.20778,2.9367,2.50749,2.30418,2.259,1.983402,2.073762,1.755243,1.364436,,,,,,,,,,,,,,,,,,
BA3SF1A,,5.1957,,4.7439,4.65354,3.97584,3.95325,4.31469,4.56318,5.4216,5.55714,5.53455,5.01498,4.45023,3.90807,4.08879,,,,,,,,,,,,,,,
BA3SF1B,,4.45023,,,4.45023,5.91858,3.99843,4.35987,4.38,4.87944,4.78908,4.85685,4.45023,4.2921,4.0662,3.79512,,,,,,,,,,,,,,,
BA3SF1L,4.42764,4.33728,3.70476,4.38246,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,3.29814,3.47886,3.27,3.90807,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,6.25743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,3.36591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,6.3252,6.75441,,6.00894,6.23484,3.23037,5.85081,6.3252,6.28002,6.84477,7.11585,7.2288,7.04808,,,6.23484,,,,,,,,,,,,,,,
BA3SF3B,4.40505,3.90807,,4.65354,4.87944,4.47282,4.60836,4.518,4.11138,3.43368,3.3885,2.98188,2.193489,,,4.04361,,,,,,,,,,,,,,,
BA5AJC1,,,3.59181,,,,,2.43972,3.09483,4.0662,4.13397,4.17915,4.0662,3.41109,3.32073,,0.501498,3.1626,3.14001,1.924668,2.7108,,,,,,,,,,
BA5AJC2,,,4.04361,,,,,3.97584,4.02102,4.56318,4.38246,4.56318,4.45023,,3.86289,,3.86289,4.15656,4.15656,3.8403,4.02102,4.20174,,,,,,,,,
DR5,,,,,,,,,,0.727398,,,0.422433,,0.68,1.687473,1.658106,1.915632,2.28159,,,0.74547,1.81,1.64,1.773315,1.608408,1.854639,0.833571,1.42317,0.88101,0.33885
DR5GP,,,,,,,,,,,,,0.0,,0.77,4.78908,1.326033,2.28159,0.0,,,,4.43,3.16,,0.761283,1.723617,1.55871,0.0,0.0,0.0
DR5KM,,,,,,,,,,1.479645,,,1.231155,,1.14,1.92015,1.926927,2.207043,2.50749,,,0.99396,1.97,2.14,1.87497,1.854639,1.811718,0.921672,2.053431,1.529343,0.92619
