Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,3.79,3.91,4.82,2.96,4.48,7.88,4.542342064,198.0,4.12,3.53,4.32,3.67,6.0,,,,,,,,,,,,,,,,,,
BA3SF1A,,5.12,,3.19,4.95,10.1,5.19,72.0,4.34,5.24,4.43,3.83,5.83,4.31,4.05,5.52,,,,,,,,,,,,,,,
BA3SF1B,,5.01,,,4.95,17.3,5.27263741,69.6,7.67,3.68,4.23,5.57,4.06,4.12,4.23,5.52,,,,,,,,,,,,,,,
BA3SF1L,4.06,4.1,5.28,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,3.88,3.77,5.04,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,4.11,4.34,,3.27,4.82,6.09,5.016563418,79.3,4.52,3.68,3.98,244.0,3.74,,,4.89,,,,,,,,,,,,,,,
BA3SF3B,4.06,5.04,,3.23,4.95,7.12,4.653906384,78.7,4.48,3.61,4.03,3.91,4.07,,,5.11,,,,,,,,,,,,,,,
BA5AJC1,,,3.91,,,,,78.0,3.46,2.97,3.2,3.16,7.4,2.92,3.24,,1.5,2.21,3.76,23.7,3.827148086,,,,,,,,,,
BA5AJC2,,,5.12,,,,,78.4,20.3,3.54,3.76,4.04,3.96,,3.93,,5.23,2.68,4.54,3.2,4.853047259,2.92,,,,,,,,,
DR5,,,,,,,,,,5.48,,,7.48,,7.6,11.7,12.1,5.72,10.2,,,6.94,4.93,7.66,11.6,7.5,264.7616957,23.9,10.3,7.08,101.0
DR5GP,,,,,,,,,,,,,0.0,,46.5,2222.0,74.4,34.1,0.0,,,,14.4,95.8,,36.8,240.6460398,34.1,0.0,0.0,0.0
DR5KM,,,,,,,,,,5.98,,,21.5,,9.68,12.1,12.0,6.09,11.9,,,9.82,3.19,10.6,9.08,7.82,265.7263405,27.0,11.0,8.81,114.0
