Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,12.8649,13.7132,19.4007,20.9172,32.8263,235.3204,57.3397,7360.4393,89.0288,6.3327,9.0068,2.3538,9.1493,,,,,,,,,,,,,,,,,,
BA3SF1A,,3.2865,,3.0547,7.3609,22.7038,3.7639,487.3684,5.8743,1.8248,1.2255,0.3306,1.488,0.0,3.7651,5.0915,,,,,,,,,,,,,,,
BA3SF1B,,3.5611,,,7.8138,98.6351,14.6263,553.6195,18.2976,2.0023,1.3021,1.2091,0.4626,0.0,4.2992,15.7919,,,,,,,,,,,,,,,
BA3SF1L,0.0,2.9798,5.9129,6.6638,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,0.0,0.0,9.7396,9.1047,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,0.7504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,0.8633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,0.2754,0.3442,,0.3571,0.6158,1.2163,1.6507,22.8966,1.8307,0.1129,0.3569,1.5705,0.6714,,,0.372,,,,,,,,,,,,,,,
BA3SF3B,0.4141,2.7544,,2.9031,4.5353,23.4571,6.5164,251.0997,15.1384,1.8294,1.268,0.4599,0.9415,,,2.229,,,,,,,,,,,,,,,
BA5AJC1,,,1.3865,,,,,449.3096,12.3255,1.0167,0.4468,2.0278,0.402,0.5419,0.4088,,5.2957,1.28,4.8459,46.3858,3.5437,,,,,,,,,,
BA5AJC2,,,13.744,,,,,1026.0887,188.7442,5.6624,6.1527,5.9085,3.893,0.0,0.9311,,66.8639,7.6168,14.8325,44.0992,37.2634,0.0,,,,,,,,,
DR5,,,,,,,,,,0.0,,,16.9413,,45.6665,83.8455,179.0777,35.9297,87.4789,,,0.0,69.0925,20.7079,0.0,150.7702,16264.0513,3066.8656,96.6302,12.9845,18.0748
DR5GP,,,,,,,,,,,,,0.0,,1.8979,186.8964,134.4637,0.3192,0.0,,,,1.08,0.0,,37.9541,72.4277,11.2895,0.0,0.0,0.0
DR5KM,,,,,,,,,,0.0,,,49.3438,,53.1452,74.7711,85.5511,24.608,54.8918,,,0.0,22.7035,20.5646,0.0,139.6779,11348.727,1399.7193,76.9019,17.2172,97.5905
