Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,2.88,2.93,3.92,3.85,3.72,4.41,4.48,4.1,3.4,2.53,2.48,2.31,2.22,,,,,,,,,,,,,,,,,,
BA3SF1A,,4.89,,5.03,5.24,6.12,6.57,6.01,5.46,4.93,4.8,4.7,4.61,5.09,5.09,5.23,,,,,,,,,,,,,,,
BA3SF1B,,4.53,,,5.02,5.57,6.07,5.92,5.17,4.51,4.39,4.48,4.29,4.9,5.24,4.74,,,,,,,,,,,,,,,
BA3SF1L,5.04,4.51,5.02,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,2.9,2.79,3.95,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,4.14,4.27,,5.74,4.98,4.71,5.48,5.6,5.04,3.18,3.1,2.81,2.68,,,4.99,,,,,,,,,,,,,,,
BA3SF3B,3.41,3.09,,4.57,4.37,6.32,4.63,4.51,4.15,2.51,2.47,2.3,2.47,,,3.77,,,,,,,,,,,,,,,
BA5AJC1,,,7.93,,,,,9.77,7.93,6.91,7.36,7.81,8.62,6.87,7.86,,4.29,8.77,8.99,14.1,9.59,,,,,,,,,,
BA5AJC2,,,2.89,,,,,4.91,4.17,2.47,2.35,2.15,1.97,,3.32,,3.38,3.66,4.37,9.13,4.67,6.64,,,,,,,,,
DR5,,,,,,,,,,15.2,,,18.9,,16.1,25.1,24.3,20.4,22.2,,,22.3,15.8,21.7,24.1,24.9,13.7,10.1,18.5,21.5,22.8
DR5GP,,,,,,,,,,,,,0.0,,28.3,4.96,22.1,19.2,0.0,,,,36.5,26.6,,10.9,18.8,23.1,0.0,0.0,0.0
DR5KM,,,,,,,,,,17.1,,,22.4,,20.2,25.3,24.6,21.1,22.2,,,25.4,15.9,21.0,21.7,25.6,15.2,11.6,20.8,28.0,23.3
