Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,9.776,10.2761,15.7782,27.2066,27.2576,131.6958,56.5528,152.4131,73.4704,4.5387,5.1706,1.4815,3.3852,,,,,,,,,,,,,,,,,,
BA3SF1A,,3.1389,,4.8166,7.7921,13.7572,4.7647,40.6817,7.3902,1.7169,1.3278,0.4057,1.1766,0.0,4.732,4.824,,,,,,,,,,,,,,,
BA3SF1B,,3.2199,,,7.9243,31.7571,16.8382,47.0895,12.3336,2.4539,1.3513,0.9725,0.4888,0.0,5.3258,13.5604,,,,,,,,,,,,,,,
BA3SF1L,0.0,3.2778,5.6218,9.7249,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,0.0,0.0,7.6332,11.1409,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,0.7864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,1.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,0.2774,0.3386,,0.6269,0.6362,0.9407,1.8032,1.6169,2.0413,0.0976,0.278,0.0181,0.4811,,,0.3796,,,,,,,,,,,,,,,
BA3SF3B,0.3478,1.6887,,4.1074,4.0039,20.8214,6.4829,14.3896,14.0233,1.272,0.7772,0.2705,0.5714,,,1.6445,,,,,,,,,,,,,,,
BA5AJC1,,,2.8121,,,,,56.2789,28.249,2.3654,1.0277,5.0118,0.4683,1.275,0.9918,,15.1456,5.0795,11.5863,27.5966,8.8797,,,,,,,,,,
BA5AJC2,,,7.7579,,,,,64.2614,38.7716,3.9509,3.8454,3.1444,1.9367,0.0,0.7866,,43.2122,10.402,14.2771,125.8204,35.8579,0.0,,,,,,,,,
DR5,,,,,,,,,,0.0,,,42.8061,,96.7409,179.8738,359.6354,128.1409,190.3953,,,0.0,221.4323,58.6635,0.0,500.5572,841.5776,1296.0395,173.559,39.4303,4.0803
DR5GP,,,,,,,,,,,,,0.0,,1.155,0.4172,39.9415,0.1797,0.0,,,,2.7375,0.0,,11.2418,5.6583,7.6477,0.0,0.0,0.0
DR5KM,,,,,,,,,,0.0,,,51.4094,,110.9022,156.3396,175.3797,85.2592,102.4033,,,0.0,113.1616,40.7411,0.0,457.2576,649.1665,601.3609,145.4145,54.72,19.9461
