Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,2.66,2.75,,3.16,3.23,2.92,2.49,2.36,2.35,2.08,2.17,1.75,1.39,,,,,,,,,,,,,,,,,,
BA3SF1A,,5.22,,4.87,4.98,4.15,4.04,4.22,4.68,5.66,5.37,6.34,5.12,4.61,4.14,4.53,,,,,,,,,,,,,,,
BA3SF1B,,4.7,,,4.83,5.93,4.12,4.08,4.38,5.06,4.9,4.93,4.66,4.46,4.4,4.04,,,,,,,,,,,,,,,
BA3SF1L,4.53,4.77,3.89,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,3.47,3.59,3.27,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,7.35,6.91,,6.39,6.68,3.51,5.78,5.95,7.18,7.35,6.9,7.12,6.93,,,6.31,,,,,,,,,,,,,,,
BA3SF3B,4.93,3.93,,4.98,5.27,4.59,4.77,4.35,4.3,3.69,3.79,3.15,2.33,,,4.27,,,,,,,,,,,,,,,
BA5AJC1,,,3.7,,,,,2.57,3.15,4.46,4.37,4.4,4.17,3.93,3.4,,1,3.27,3.25,2.75,2.88,,,,,,,,,,
BA5AJC2,,,4.23,,,,,3.93,3.99,4.73,4.66,4.58,4.59,4.11,4.06,,4.02,4.26,4.26,3.89,4.14,4.41,,,,,,,,,
DR5,,,,,,,,,,0.998,,,0.486,,0.691,1.87,1.66,1.96,2.25,,,0.938,1.73,1.55,1.7,1.75,1.95,1.56,1.57,0.829,0.76
DR5GP,,,,,,,,,,,,,0,,2.26,17.42,2.97,3.36,0,,,,5.18,4.37,,1.5,1.92,2.41,0,0,0
DR5KM,,,,,,,,,,0.938,,,1.34,,1.18,1.83,1.85,2.29,2.6,,,1.35,1.8,1.99,2.1,1.89,1.97,1.47,2.08,2.16,1.05
