Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,9.0292,9.6448,0.0,22.3306,23.6672,87.2,31.4322,87.7305,50.781,3.7314,4.5243,1.1224,2.1196,,,,,,,,,,,,,,,,,,
BA3SF1A,,3.3507,,4.6634,7.4055,9.3288,2.9299,28.5652,6.3345,1.9711,1.4855,0.5473,1.3067,0.0,3.8488,4.1783,,,,,,,,,,,,,,,
BA3SF1B,,3.3408,,,7.6244,33.8096,11.4289,32.4536,10.449,2.7532,1.5083,1.0702,0.531,0.0,4.472,11.5578,,,,,,,,,,,,,,,
BA3SF1L,0.0,3.4667,4.3563,9.3293,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,0.0,0.0,6.3191,11.6645,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,1.2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,0.8267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,0.4925,0.548,,0.6979,0.8534,0.701,1.9019,1.718,2.9081,0.2255,0.6187,0.0458,1.244,,,0.48,,,,,,,,,,,,,,,
BA3SF3B,0.5029,2.1478,,4.4759,4.8285,15.1219,6.6789,13.8791,14.5301,1.87,1.1925,0.3705,0.539,,,1.8626,,,,,,,,,,,,,,,
BA5AJC1,,,1.3121,,,,,14.8042,11.2212,1.5267,0.6102,2.8235,0.2265,0.7294,0.429,,3.5304,1.894,4.1886,5.3823,2.6667,,,,,,,,,,
BA5AJC2,,,11.3549,,,,,51.4353,37.098,7.5659,7.6254,6.6982,4.5123,1.9294,0.9619,,51.3944,12.1073,13.9177,53.608,31.7883,0.0,,,,,,,,,
DR5,,,,,,,,,,0.0,,,1.1007,,4.152,13.401,24.5677,12.3116,19.2968,,,0.0,24.2454,4.1902,0.0,35.1797,119.7866,200.1804,14.7291,1.5204,0.136
DR5GP,,,,,,,,,,,,,0.0,,0.0922,1.4652,5.3677,0.0315,0.0,,,,0.3885,0.0,,1.547,0.5779,0.7979,0.0,0.0,0.0
DR5KM,,,,,,,,,,0.0,,,3.0754,,6.4784,11.3084,13.1891,9.2532,11.9932,,,0.0,12.8107,3.8607,0.0,33.7585,84.1354,76.2069,14.5414,4.2213,0.8989
