Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,69.3,,,,,,,,,,,,,,,,,,
BA3SF1A,,13.28,,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,13.28,,,,,,,,,,,,,,,
BA3SF1B,,14.52,,,14.52,14.52,14.52,14.52,14.52,14.52,14.52,14.52,,14.52,14.52,14.52,,,,,,,,,,,,,,,
BA3SF1L,14.8,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,25.78,25.78,25.78,25.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,4.25,4.25,,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,,,4.25,,,,,,,,,,,,,,,
BA3SF3B,9.68,9.68,,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,,,9.68,,,,,,,,,,,,,,,
BA5AJC1,,,29.04,,,,,29.04,29.04,29.04,29.04,29.04,,29.04,29.04,,29.04,29.04,29.04,29.04,29.04,,,,,,,,,,
BA5AJC2,,,33.85,,,,,33.85,33.85,33.85,33.85,33.85,,33.85,33.85,,33.85,33.85,33.85,33.85,33.85,33.85,,,,,,,,,
DR5,,,,,,,,,,105.07,,,105.07,,105.07,105.07,105.07,105.07,105.07,,,105.07,105.07,105.07,105.07,105.07,105.07,105.07,105.07,105.07,105.07
DR5GP,,,,,,,,,,,,,,,41.39,41.39,41.39,41.39,41.39,,,,41.39,41.39,,41.39,41.39,41.39,41.39,41.39,41.39
DR5KM,,,,,,,,,,90.45,,,90.45,,90.45,90.45,90.45,90.45,90.45,,,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45,90.45
