Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,8.39,4.46,,3.18,2.56,2.14,3.41,2.5,3.52,6.95,3.89,11.0,4.34,,,,,,,,,,,,,,,,,,
BA3SF1A,,9.46,,3.83,3.15,20.9,9.33,8.59,2.21,20.1,8.48,159.0,18.3,12.9,7.46,38.6,,,,,,,,,,,,,,,
BA3SF1B,,6.84,,,9.81,33.8,8.28,3.99,5.46,12.3,3.53,6.5,15.1,22.6,10.7,22.9,,,,,,,,,,,,,,,
BA3SF1L,18.5,40.5,4.86,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,8.92,6.97,3.51,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,80.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,153.0,110.0,,130.0,15.0,56.0,11.0,8.71,101.0,125.0,13.1,80.6,246.0,,,15.9,,,,,,,,,,,,,,,
BA3SF3B,63.6,10.6,,41.7,23.6,37.4,26.6,11.7,41.7,10.1,46.7,9.38,5.15,,,16.8,,,,,,,,,,,,,,,
BA5AJC1,,,3.68,,,,,9.04,27.6,28.4,38.7,25.7,17.1,102.0,3.16,,77.6,29.4,3.17,88.5,6.71,,,,,,,,,,
BA5AJC2,,,13.1,,,,,2.85,2.23,11.1,10.6,8.03,74.7,2.93,4.89,,5.12,3.72,1.5,13.5,4.27,3.33,,,,,,,,,
DR5,,,,,,,,,,7.14,,,17.1,,7.49,11.3,7.25,6.41,4.18,,,10.7,3.74,5.15,7.59,17.4,15.5,48.9,7.04,4.51,120.0
DR5GP,,,,,,,,,,,,,0.0,,159.0,2436.0,196.0,132.0,0.0,,,,61.6,313.0,,126.0,30.0,56.7,0.0,0.0,0.0
DR5KM,,,,,,,,,,6.54,,,28.5,,7.13,7.0,6.53,15.6,8.87,,,20.2,4.33,9.19,8.07,8.15,12.7,36.0,24.0,9.94,9.95
