Site,D-2006-08-30,D-2006-09-28,D-2006-10-30,D-2006-12-14,D-2007-01-31,D-2007-02-28,D-2007-03-26,D-2007-04-26,D-2007-05-17,D-2007-08-15,D-2007-08-30,D-2007-09-17,D-2007-10-03,D-2006-07-31,D-2006-09-15,D-2006-11-01,D-2006-11-16,D-2006-12-21,D-2007-01-29,D-2007-02-26,D-2007-03-29,D-2007-07-30,D-2006-08-01,D-2006-09-21,D-2006-10-26,D-2007-03-01,D-2007-03-24,D-2007-04-28,D-2007-05-30,D-2007-08-29,D-2007-09-14
BA3,0.003394444444,0.003507206959,0.004025048623,0.007066637222,0.007327308818,0.029863,0.01262338595,0.03717393601,0.02160893331,0.001793956504,0.002084916612,0.0006413497522,0.001524876609,,,,,,,,,,,,,,,,,,
BA3SF1A,,0.0006418994488,,0.0009575711171,0.001487040629,0.002247905894,0.0007252201888,0.006769005736,0.001353524905,0.00034825121489999997,0.0002766283024,8.632352821e-05,0.0002552237645,,0.000929665361,0.0009223697288,,,,,,,,,,,,,,,
BA3SF1B,,0.0007108003566,,,0.001578541943,0.005701449088,0.002774,0.007954303,0.002385610713,0.0005441082137,0.0003078155893,0.0002170823276,0.000113949949,,0.001016366305,0.002860847451,,,,,,,,,,,,,,,
BA3SF1L,,0.0007267812685,0.001119871825,0.00208242888,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF1R,,,0.001932454227,0.002908858364,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2A,0.0001895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF2B,0.000229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA3SF3A,6.7e-05,7.930214116e-05,,0.0001092201612,0.0001277577593,0.0001997154963,0.0003290440665,0.0002887336533,0.0004050277227,3.06804804e-05,8.96738364e-05,6.436666667e-06,0.0001795063575,,,7.606648557e-05,,,,,,,,,,,,,,,
BA3SF3B,0.000102,0.0005465075107,,0.0008987772116,0.0009162170185,0.003294531765,0.001400194573,0.003190593015,0.003379100715,0.0005067616724,0.00031464504,0.00011762994,0.00023131587,,,0.0004362086437,,,,,,,,,,,,,,,
BA5AJC1,,,0.0003546092728,,,,,0.005760379142,0.003562289072,0.0003423118196,0.0001396372769,0.0006417112299,5.432432432e-05,0.00018559272,0.0001261872,,0.003530439391,0.0005791952453,0.001288798794,0.001957206677,0.0009259289328,,,,,,,,,,
BA5AJC2,,,0.002684380423,,,,,0.01308786621,0.009297744913,0.001599547183,0.001636351183,0.00146249379,0.0009830744153,0.0004694301,0.0002369185,,0.01278468216,0.002842080775,0.003267072107,0.0137809846,0.007678344662,,,,,,,,,,
DR5,,,,,,,,,,,,,0.002264875074,,0.006008751,0.007166285951,0.01479981,0.00628141845,0.008576365182,,,,0.014014704,0.0027033855,,0.0201026973,0.06142901939,0.1283207378,0.009381569451,0.001833967637,0.0001789587852
DR5GP,,,,,,,,,,,,,0.0,,4.081414743e-05,8.411178872e-05,0.001807307357,9.3605949e-06,0.0,,,,7.5e-05,0.0,,0.00103136087,0.0003009717566,0.0003310689323,0.0,0.0,0.0
DR5KM,,,,,,,,,,,,,0.002295060389,,0.00549021,0.006179429689,0.00712925715,0.004040718986,0.004612759122,,,,0.00711708,0.001940052,,0.0178616232,0.04270832522,0.05184145379,0.006991080907,0.001954284673,0.0008560566174
