OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,MD007-391438076305701,BA2013S002,Facility: Diversion,,02060003,,,,,39.2438889,-76.5158333,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-391449076352401,BC2011S001,Facility: Diversion,,02060003,,,,,39.2469444,-76.59,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,510,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-391451076554501,HO1974G003,Well,,02060006,,,,,39.2475,-76.9291667,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,027,Piedmont and Blue Ridge crystalline-rock aquifers,Lower Pelitic Schist of Wissahickon Formation,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-391538076335501,BC2014S001,Facility: Diversion,,02060003,,,,,39.2605556,-76.5652778,,1,minutes,Unknown.,NAD83,,,,,,,US,24,510,,,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-391657076342001,BC2005G005,Well,,02060003,,,,,39.2825,-76.5722222,,1,minutes,Unknown.,NAD83,,,,,,,US,24,510,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-391657076354901,BC2011S002,Facility: Diversion,,02060003,,,,,39.2825,-76.5969444,,1,minutes,Unknown.,NAD83,,,,,,,US,24,510,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-391707076344501,BC1999G001,Well,,02060003,,,,,39.2852778,-76.5791667,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,510,Northern Atlantic Coastal Plain aquifer system,Patuxent Formation,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-391708076424901,BA2013G001,Well,,02060003,,,,,39.2855556,-76.7136111,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,Piedmont and Blue Ridge crystalline-rock aquifers,Baltimore Gabbro Complex,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-391717076374301,BC2013G001,Well,,02060003,,,,,39.2880556,-76.6286111,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,510,Northern Atlantic Coastal Plain aquifer system,Patuxent Formation,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-391942076244601,BA2012G004,Well,,02060003,,,,,39.3283333,-76.4127778,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,Northern Atlantic Coastal Plain aquifer system,Patapsco Formation,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-392254076444201,BA1954S014,Facility: Diversion,,02060003,,,,,39.3816667,-76.745,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-392301076262701,BA2013G005,Well,,02060003,,,,,39.3836111,-76.4408333,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-392343076401401,BA1983G027,Well,,02060003,,,,,39.3952778,-76.6705556,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,Piedmont and Blue Ridge crystalline-rock aquifers,Cockeysville Marble,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-392622076414301,BA1967G122,Well,,02060003,,,,,39.4394444,-76.6952778,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,Piedmont and Blue Ridge crystalline-rock aquifers,Loch Raven Schist,Unconfined single aquifer,,,,,,NWIS
